nome_da_uc;nota_pessoal_mean;nota_pessoal_std;nota_equipamento_mean;nota_equipamento_std;nota_capacidade_mean;nota_capacidade_std;nota_recurso_mean;nota_recurso_std;nota_apoio_mean;nota_apoio_std;cnuc;bioma
ESTACAO ECOLOGICA DE PIRAPITINGA;0.5892857142857143;0.31936148521974;0.5;0.29417420270727607;0.625;0.25476233268253407;0.26785714285714285;0.26790292649013375;0.35714285714285715;0.21290765681316;0000.00.0061;CERRADO
ESTACAO ECOLOGICA DE TAIAMA;0.85;0.15811388300841897;0.8166666666666667;0.1759328876372492;0.8666666666666667;0.15998511835554607;0.7666666666666667;0.1759328876372492;0.2833333333333333;0.22886885410853172;0000.00.0062;PANTANAL
ESTACAO ECOLOGICA DE TAMOIOS;0.6166666666666667;0.2968084198523318;0.7;0.3300432872042264;0.8166666666666667;0.3056998216427038;0.35;0.3510189250087319;0.31666666666666665;0.2581988897471611;0000.00.0063;MARINHO
ESTACAO ECOLOGICA DE URUCUI-UNA;0.4166666666666667;0.2581988897471611;0.625;0.2622022120425379;0.5;0.22360679774997896;0.4166666666666667;0.12909944487358058;0.4583333333333333;0.292261298612503;0000.00.0065;CERRADO
ESTACAO ECOLOGICA DO CASTANHAO;0.4375;0.125;0.375;0.25;0.625;0.14433756729740643;0.1875;0.125;0.3125;0.23935677693908453;0000.00.0066;CAATINGA
ESTACAO ECOLOGICA DO CERCADINHO;0.9166666666666666;0.15430334996209194;0.8833333333333333;0.12909944487358055;0.9333333333333333;0.11443442705426586;0.5666666666666667;0.48611678001229686;0.11666666666666667;0.208452346958198;0000.31.0936;MATA ATLANTICA
ESTACAO ECOLOGICA DO JARI;0.4166666666666667;0.14433756729740643;0.75;0.0;0.75;0.0;0.6666666666666666;0.14433756729740646;0.5833333333333334;0.14433756729740646;0000.00.0067;AMAZONIA
ESTACAO ECOLOGICA DO PECEM;0.4642857142857143;0.0944911182523068;0.75;0.0;0.5357142857142857;0.09449111825230681;0.6428571428571429;0.1336306209562122;0.25;0.0;0000.23.0952;CAATINGA
ESTACAO ECOLOGICA DO RIO PRETO;0.8541666666666666;0.24905122997390544;0.8333333333333334;0.28867513459481287;0.8541666666666666;0.22508415934463;0.6875;0.4411374759950381;0.3333333333333333;0.2682716849943299;0000.29.0898;CERRADO
ESTACAO ECOLOGICA DO RIO RONURO;0.8541666666666666;0.1287321626361093;0.8125;0.11306675421666135;0.875;0.13055824196677335;0.9791666666666666;0.07216878364870322;0.0625;0.15539539012701525;0000.51.0451;AMAZONIA
ESTACAO ECOLOGICA DO SERIDO;0.8333333333333334;0.14433756729740646;0.9166666666666666;0.14433756729740643;1.0;0.0;0.9166666666666666;0.14433756729740646;0.16666666666666666;0.2886751345948129;0000.00.0069;CAATINGA
ESTACAO ECOLOGICA DO TAIM;0.925;0.2003286772965079;0.875;0.19022147756317054;0.95;0.17396309348461483;0.825;0.2446802424647965;0.175;0.2161261814676544;0000.00.0070;PAMPA
ESTACAO ECOLOGICA DOS TUPINIQUINS;0.5;0.2041241452319315;0.25;0.0;0.6875;0.125;0.25;0.0;0.5625;0.375;0000.00.0071;MARINHO
ESTACAO ECOLOGICA ESTADUAL WENCESLAU GUIMARAES;0.6666666666666666;0.38188130791298663;0.5833333333333334;0.14433756729740646;0.6666666666666666;0.38188130791298663;0.5;0.25;0.3333333333333333;0.3818813079129867;0000.29.0294;MATA ATLANTICA
ESTACAO ECOLOGICA GOVERNADOR MARIO COVAS;0.4166666666666667;0.25;0.05555555555555555;0.16666666666666669;0.8611111111111112;0.33333333333333337;0.0;0.0;0.3055555555555556;0.3254270698294439;5220.35.3250;MATA ATLANTICA
ESTACAO ECOLOGICA JUAMI-JAPURA;0.25;0.0;0.6;0.13693063937629152;0.7;0.27386127875258304;0.8;0.11180339887498948;0.35;0.3791437722025775;0000.00.0072;AMAZONIA
ESTACAO ECOLOGICA MICO LEAO PRETO;0.40384615384615385;0.16261090889699772;0.5961538461538461;0.19198691194707612;0.6923076923076923;0.10963225241337865;0.3269230769230769;0.2955329822367439;0.4230769230769231;0.1877669040497027;0000.00.0073;MATA ATLANTICA
ESTACAO ECOLOGICA MUNICIPAL DO PIRAJIBU;0.4166666666666667;0.25;0.08333333333333333;0.25;0.8888888888888888;0.3333333333333333;0.05555555555555555;0.16666666666666669;0.3055555555555556;0.3254270698294439;5220.35.3249;MATA ATLANTICA
ESTACAO ECOLOGICA RASO DA CATARINA;0.8214285714285714;0.15281246137553164;0.8571428571428571;0.1889822365046136;0.8928571428571429;0.161551543164716;0.75;0.19611613513818404;0.375;0.18988863132818748;0000.00.0074;CAATINGA
ESTACAO ECOLOGICA RIO ACRE;0.325;0.1687371394276382;0.75;0.20412414523193154;0.725;0.27512623365365296;0.65;0.268741924943285;0.575;0.16873713942763827;0000.00.0068;AMAZONIA
ESTACAO ECOLOGICA SERRA DA CANOA;0.39285714285714285;0.34931906550288594;0.10714285714285714;0.1336306209562122;0.9285714285714286;0.12198750911856664;0.17857142857142858;0.37400662077154784;0.32142857142857145;0.31339158526400435;0000.26.3312;CAATINGA
ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS;0.425;0.20581815058714115;0.575;0.12076147288491197;0.85;0.17480147469502524;0.575;0.20581815058714115;0.5;0.16666666666666666;0000.00.0076;CERRADO
ESTACAO ECOLOGICA TUPINAMBAS;0.75;0.15811388300841897;0.9545454545454546;0.10112997936948631;0.7954545454545454;0.26967994498529685;0.6363636363636364;0.2820380374088831;0.45454545454545453;0.2919371040605711;0000.00.0064;MARINHO
FLORESTA ESTADUAL DO AMAPA;0.19642857142857142;0.10645382840658003;0.21428571428571427;0.13363062095621217;0.25;0.16984155512168933;0.21428571428571427;0.19258222162991084;0.5714285714285714;0.1815682598006407;0000.16.0885;AMAZONIA
FLORESTA NACIONAL ALTAMIRA;0.6666666666666666;0.25;0.9722222222222222;0.08333333333333333;0.8888888888888888;0.13176156917368245;0.9444444444444444;0.1102396379610246;0.3888888888888889;0.2825970826302195;0000.00.0083;AMAZONIA
FLORESTA NACIONAL DA RESTINGA DE CABEDELO;0.7105263157894737;0.23954757551616446;0.7236842105263158;0.31063037209869776;0.8289473684210527;0.23647632573172933;0.6710526315789473;0.37316803984922436;0.40789473684210525;0.22377019331270348;0000.00.0132;MATA ATLANTICA
FLORESTA NACIONAL DE ACU;0.7045454545454546;0.21846572437632575;0.5681818181818182;0.27592818565047617;0.7272727272727273;0.13483997249264845;0.4772727272727273;0.3250874008352495;0.4318181818181818;0.22613350843332272;0000.00.0082;CAATINGA
FLORESTA NACIONAL DE ANAUA;0.4375;0.18844459036110228;0.7083333333333334;0.23435921664027307;0.6875;0.21650635094610965;0.5;0.26111648393354675;0.5;0.15075567228888181;0000.00.0084;AMAZONIA
FLORESTA NACIONAL DE ASSUNGUI;0.7;0.19194297398747864;0.75;0.14048787173725408;0.8;0.15389675281277312;0.575;0.2577738707104594;0.35;0.23508117299081363;0000.00.0077;MATA ATLANTICA
FLORESTA NACIONAL DE BALATA-TUFARI;0.5;0.25;0.6111111111111112;0.377307714089059;0.9722222222222222;0.08333333333333333;0.5277777777777778;0.23199018178458425;0.4166666666666667;0.21650635094610968;0000.00.0085;AMAZONIA
FLORESTA NACIONAL DE BOM FUTURO;0.425;0.2003286772965079;0.6375;0.18978866362906205;0.5875;0.18628995509264862;0.6875;0.3331962437394895;0.3375;0.24702173354202106;0000.00.0116;AMAZONIA
FLORESTA NACIONAL DE BRASILIA;0.35714285714285715;0.2834733547569204;0.35714285714285715;0.31810450514017585;0.4642857142857143;0.2672612419124244;0.2857142857142857;0.36596252735569995;0.17857142857142858;0.18898223650461363;0000.00.0086;CERRADO
